SID,DWZZJGDM,satisfied
20051212160,91650000MA7781KU5D,1
20051212164,121000004660018493,1
20051212185,12100000400014479B,1
20051212236,91610131MA6TYGPX20,1
20051212245,121000004660018493,1
20111212693,91310000MA7CBUDK9T,1
20011210011,916100009205248781,1
20011210025,91610131MAB0M25M4Q,1
20011210174,91440400MA541FF877,1
20011210253,913500007549617646,1
20011210289,91610131MAB0PA1QXU,1
20011210324,91610131MAB0PA1QXU,1
20011210344,91610131673262558K,1
20011210385,91310115MA1K42DU2C,1
20021210624,91310112MA1GD3FX86,1
20021211149,91440300192317458F,1
20021211167,91440400MA541FF877,1
20031211317,91110108562144110X,1
20031211434,91110108562144110X,1
20031211621,9137000072495538X6,1
20031211656,91110108562144110X,1
20031221730,916101316838525277,1
20041211935,91110108558521630L,1
20041211943,91310000MA1H3JA14G,1
20031211483,911101086656289355,1
20031211491,91420000670372700D,1
20031211683,916101310515730361,1
20041211766,91310000703099764Y,1
20041211959,91440300192317458F,1
20041211974,911201163004579939,1
20041212002,91610131668683606U,1
20041212064,12100000451209890A,1
20061212330,91440300192317458F,1
20111212783,91610131MA6X0PBW8F,1
20111212826,12100000450720814K,1
20111212881,91610131MA6TYGPX20,1
20111212988,915200007753445386,1
20111213029,91610131MA6TY2849H,1
20111213052,91440300MA5H6FAP31,1
20121213204,91420000271756344P,1
20131213269,91610000435230446C,1
20131213338,91610131668683606U,1
20021210669,12100000426090234N,1
20021210673,91310115MA1K4AKX3D,1
20021210858,91320100716207592F,1
20021210934,91110108MA01BGGF6J,1
20021211185,91610131MAB0M25M4Q,1
20021211239,91440300192317458F,1
20031211551,12100000466285116Y,1
20031211552,12100000466285116Y,1
20051212240,9132010068670030XU,1
20051212265,9150000020286320X6,1
20061212375,9137000072495538X6,1
20071212568,9142010058487806XJ,1
20071212610,9142010058487806XJ,1
20111212808,91310000751866155L,1
20111212906,91310000069354472F,1
20111212926,91440400666520715X,1
20111212967,91110108797556902W,1
20071212572,52610103668688626H,1
20121213203,913100005821193690,1
20131213264,91430000722592271H,1
20131213313,915101006630031225,1
20171213714,916101310515730361,1
20171213772,916101310515730361,1
20171213794,916101310515730361,1
20181214006,914403001922038216,1
20181214147,91610131081000925D,1
19050100217,9161070022282016X5,1
19050400011,91610131693848521A,1
19050500059,914403001922038216,1
19069100010,9150000020286320X6,1
20151213547,91440300192317458F,1
20171213694,91330000733796106P,1
20171213738,91440300342470600P,1
20151213557,121000004352307962,1
20171213804,91610132MA6U1FQFX4,1
20181213867,916100002942059830,1
20181213887,913100007878796873,1
20181213962,914400006713807961,1
20181214095,12100000717809966X,1
20011210466,91110105MA009PJM56,1
20011210479,91610131MAB104T54X,1
20011210499,91611104MABMAMRL50,1
20011210505,91610131668683606U,1
20011210514,9144030071526726XG,1
20011210517,91440300192317458F,1
20011210553,91310000703099764Y,1
20011210558,91610131783581752R,1
20011210572,1210000049350541XL,1
19140200089,91340000762794062H,1
19140200230,913205056725028046,1
19160100002,91320115724588823N,1
19160200016,91350200751606687H,1
20031211392,91610131668683606U,1
20031211436,91611105MA6TWLTU6G,1
20031211503,914403001922038216,1
20031211529,911101080673385595,1
20031211582,91610000920520236P,1
20031211624,913700001630477270,1
20031211647,91440300192317458F,1
20031211663,12100000H0420141X7,1
20181214249,12440000MB2D23849R,1
20181214312,91330100563015652A,1
20181214422,914403001922038216,1
21030140007,91610131MA7N6Q6K6D,1
21030140008,91110117MA017C682B,1
21030140009,91110000700049024C,1
21030140012,91110108562144110X,1
21030140013,91430100MA4QWBJ977,1
21030140014,9144030027939873X7,1
20021210607,913101145852521733,1
20021210663,91320102053279295F,1
20021210666,91440300192317458F,1
20021210698,914403001922038216,1
20021210706,91440300192317458F,1
20021210717,12100000401749530L,1
20021210724,916100009205248781,1
20021210747,9161010076698682X0,1
19160200073,91440300793892618P,1
19170100072,91440300192317458F,1
19180200001,11654301458398460M,1
20031211701,91310000MA1GW5YM84,1
20031221726,916101132206335558,1
20041211760,91330000733796106P,1
20041211770,91610131668683606U,1
20041211796,916101316838525277,1
20041211824,916101316838525277,1
20041211929,121000004165261530,1
20041211964,91440300192317458F,1
20041211982,91440300192317458F,1
20041212001,91610131668683606U,1
19010100232,9161000078365435XM,1
19020100077,91320192134899023E,1
19020100345,91610000671504701D,1
19020100392,9161000078365435XM,1
20021210764,916101316838525277,1
20021210789,916101316838525277,1
21010540012,91610000671504701D,1
20021210817,911100007693505528,1
20021210894,91330200711192037M,1
19200100005,91610132MA6U1FQFX4,1
20041212048,91440300192317458F,1
20051212104,114201120108834253,1
20051212130,91610131668683606U,1
20051212140,91610131MAB0M25M4Q,1
20051212203,12100000450720814K,1
20051212225,12100000H0420141X7,1
20061212276,9161000011315230XJ,1
20061212301,913202146079228459,1
20061212318,9161011529452049X5,1
19020300061,916500006702236769,1
19030500008,91320000566894023W,1
19030500045,91330200717882426P,1
19030500225,91610000220566671X,1
20021210954,121000004352307294,1
21020140001,91440300MA5GY8J17Q,1
20021210981,91440300MA5DJ6HW8Y,1
20021210985,91440400MA541FF877,1
20021210999,9137000086304878X1,1
20021211003,91110000781703453H,1
20021211017,91610131668683606U,1
20021211030,91440300192317458F,1
20011210008,91611104MABMAMRL50,1
20011210019,91110108558521630L,1
20011210042,91110108MA01F2L25J,1
20011210102,914403007542823822,1
20011210151,91110101MA04CBKC17,1
20011210221,12100000426092408R,1
20011210288,91340100MA2RHB518N,1
20011210369,91440300192317458F,1
20061212341,91440300192317458F,1
20061212345,91440300192317458F,1
20061212370,91650000625555217H,1
20061212507,52610000H16257584Q,1
20061212523,91440300MA5FMB3E32,1
20071212604,52410100MJY4503951,1
20091212682,12440606456087220L,1
20111212700,91310109585293872N,1
19030500309,91110108MA01F2L25J,1
19040100087,91350900MA8U5WNY8T,1
19050100094,91350200MA355U6N22,1
19050100114,914401016876620691,1
19050100141,136160586,1
20021211038,121000004000147271,1
20021211096,91310000703099764Y,1
20021211099,91440300727163513T,1
20021211107,91330106673959654P,1
20021211156,91420600757006447N,1
20021211164,91440300279351261M,1
20021211177,91110108797556902W,1
20011210425,913700001630477270,1
20011210500,91120111MA07A640X4,1
20011210510,91440300192317458F,1
20011210538,91440300192317458F,1
20011210577,91310115MA1K4AKX3D,1
20021210587,91610131668683606U,1
20021210625,91610131MAB0WKQ369,1
20021210647,914403001922038216,1
20021210658,9161000078365435XM,1
20021210693,91110108MA01F2L25J,1
20111212703,91310115341975375J,1
19030100193,9137010078741197XJ,1
20111212796,914403007741092105,1
20011210318,12100000436976231J,1
20031211690,12100000435230382X,1
20111212873,91610131668683606U,1
20111212883,12110000MB1N5794X2,1
20051222270,121000004165261530,1
20111212911,91330000733796106P,1
19050500109,91610131MA7CQELM42,1
19069100211,91440300726171773F,1
19071110556,125000004504018996,1
20021211206,916101316838525277,1
20021211209,12100000E80235062U,1
20021211225,91220000605120697F,1
20021211232,91610131MAB0WKQ369,1
20021211238,913500007549617646,1
20021211243,91440400560866566C,1
20021211249,91310000703099764Y,1
20021211253,91610131MA710YF09W,1
20021211274,9161040067514722XH,1
21020140028,91510105780128207K,1
20021210754,916101316838525277,1
21030140001,913100001322406202,1
20021210788,916101316838525277,1
20021210874,12100000401706565J,1
20021210906,91310105090037252C,1
20021210920,12100000435232046K,1
20021210993,91610131MAB0PH9FXJ,1
20111213027,91610131MAB104T54X,1
20111213047,91610131MA6TYGPX20,1
20111213109,913210007908906337,1
