DWZZJGDM,SJDWMC,DWXZMC,DWHYMC,GZZWLBMC,DWSZDDM
91650000MA7781KU5D,新疆银行股份有限公司,国有企业,金融业,金融业务人员,新疆乌鲁木齐市天山区
121000004660018493,中国航天科工集团八五一一研究所,科研设计单位,科学研究和技术服务业,科学研究人员,江苏省南京市江宁区
12100000400014479B,北京机电工程总体设计部,科研设计单位,科学研究和技术服务业,科学研究人员,北京市海淀区
91610131MA6TYGPX20,西安克瑞斯半导体技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91310000MA7CBUDK9T,芯原科技（上海）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
916100009205248781,中国农业银行股份有限公司陕西省分行,国有企业,金融业,工程技术人员,610101
91610131MAB0M25M4Q,西安荣耀终端有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市长安区
91440400MA541FF877,芯动微电子科技（珠海）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市碑林区
913500007549617646,锐捷网络股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,福建省福州市仓山区
91610131MAB0PA1QXU,晶晨半导体（西安）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
91610131673262558K,西安诺瓦星云科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91310115MA1K42DU2C,上海璟宸微电子有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,上海市浦东新区
91310112MA1GD3FX86,上海合见工业软件集团有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他人员,上海市浦东新区
91440300192317458F,比亚迪股份有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,陕西省西安市长安区
91110108562144110X,北京三快在线科技有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,北京市朝阳区
9137000072495538X6,中国移动通信集团山东有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,山东省济南市市辖区
916101316838525277,西安中兴新软件有限责任公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市长安区
91110108558521630L,小米通讯技术有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91310000MA1H3JA14G,思瑞浦微电子科技（上海）有限责任公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,上海市浦东新区
911101086656289355,北京海量数据技术股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91420000670372700D,中国电信股份有限公司湖北分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,湖北省武汉市武昌区
